,gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier
255,AAL2222.DFW.DCA.230222.0245.0057.TFM,KDFW,KDCA,2023-02-23 05:08:00,2023-02-23 05:28:00,AAL
256,AAL1056.DFW.LGA.230221.1425.0110.TFM,KDFW,KLGA,2023-02-22 17:15:00,2023-02-22 17:40:00,AAL
257,AAL2318.LAX.DFW.230221.2025.0205.TFM,KLAX,KDFW,2023-02-22 22:59:00,2023-02-22 23:23:00,AAL
258,AAL118.LAX.JFK.230221.1430.0164.TFM,KLAX,KJFK,2023-02-22 19:26:00,2023-02-22 19:51:00,AAL
259,AAL1709.DFW.EWR.230221.1400.0213.TFM,KDFW,KEWR,2023-02-22 16:58:00,2023-02-22 17:15:00,AAL
260,AAL2866.DCA.DFW.230221.1000.0038.TFM,KDCA,KDFW,2023-02-22 14:05:00,2023-02-22 13:39:00,AAL
261,AAL1676.DCA.DFW.230221.1815.0122.TFM,KDCA,KDFW,2023-02-22 21:41:00,2023-02-22 21:55:00,AAL
262,AAL1275.DCA.LAX.230221.1345.0128.TFM,KDCA,KLAX,2023-02-22 20:18:00,2023-02-22 19:52:00,AAL
263,AAL1213.DFW.BWI.230221.2025.0190.TFM,KDFW,KBWI,2023-02-22 23:04:00,2023-02-22 23:11:00,AAL
264,AAL276.SFO.JFK.230221.0635.0011.TFM,KSFO,KJFK,2023-02-22 12:23:00,2023-02-22 11:59:00,AAL
265,AAL990.LAX.ATL.230221.1755.0099.TFM,KLAX,KATL,2023-02-22 22:00:00,2023-02-22 22:02:00,AAL
266,AAL1163.DFW.BOS.230221.1645.0138.TFM,KDFW,KBOS,2023-02-22 19:54:00,2023-02-22 20:21:00,AAL
267,AAL1403.BWI.DFW.230221.1130.0182.TFM,KBWI,KDFW,2023-02-22 15:27:00,2023-02-22 15:16:00,AAL
268,AAL1105.LGA.DFW.230222.0005.0237.TFM,KLGA,KDFW,2023-02-23 05:41:00,2023-02-23 04:35:00,AAL
269,AAL1653.DFW.LAX.230222.0100.0070.TFM,KDFW,KLAX,2023-02-23 04:23:00,2023-02-23 04:37:00,AAL
270,AAL2234.JFK.DFW.230221.1300.0344.TFM,KJFK,KDFW,2023-02-22 17:12:00,2023-02-22 17:14:00,AAL
271,AAL992.LGA.DFW.230221.1955.0135.TFM,KLGA,KDFW,2023-02-23 00:48:00,2023-02-23 00:20:00,AAL
272,AAL2617.IAD.DFW.230221.1150.0085.TFM,KIAD,KDFW,2023-02-22 15:29:00,2023-02-22 15:34:00,AAL
273,AAL1608.LGA.DFW.230221.2055.0153.TFM,KLGA,KDFW,2023-02-23 02:13:00,2023-02-23 01:19:00,AAL
274,AAL302.JFK.LAX.230221.2130.0132.TFM,KJFK,KLAX,2023-02-23 04:10:00,2023-02-23 03:55:00,AAL
275,AAL2159.BOS.DCA.230221.1100.0335.TFM,KBOS,KDCA,2023-02-22 12:22:00,2023-02-22 12:52:00,AAL
276,AAL274.LAX.JFK.230221.1955.0057.TFM,KLAX,KJFK,2023-02-23 01:24:00,2023-02-23 01:15:00,AAL
277,AAL1430.DFW.SFO.230222.0110.0114.TFM,KDFW,KSFO,2023-02-23 05:53:00,2023-02-23 05:09:00,AAL
278,AAL574.DFW.LAX.230221.1200.0369.TFM,KDFW,KLAX,2023-02-22 15:44:00,2023-02-22 15:25:00,AAL
279,AAL977.SFO.LAX.230221.1500.0189.TFM,KSFO,KLAX,2023-02-22 16:35:00,2023-02-22 16:29:00,AAL
280,AAL2552.DCA.BOS.230221.1100.0336.TFM,KDCA,KBOS,2023-02-22 12:14:00,2023-02-22 12:34:00,AAL
281,AAL2143.DCA.BOS.230221.2200.0255.TFM,KDCA,KBOS,2023-02-22 23:09:00,2023-02-22 23:32:00,AAL
282,AAL2197.LAX.DFW.230221.0940.0035.TFM,KLAX,KDFW,2023-02-22 12:10:00,2023-02-22 12:35:00,AAL
283,AAL2817.DCA.DFW.230221.2020.0117.TFM,KDCA,KDFW,2023-02-23 00:04:00,2023-02-23 00:06:00,AAL
284,AAL1138.BOS.DCA.230221.1430.0143.TFM,KBOS,KDCA,2023-02-22 15:53:00,2023-02-22 16:15:00,AAL
285,AAL2030.DCA.LGA.230221.1500.0296.TFM,KDCA,KLGA,2023-02-22 15:51:00,2023-02-22 16:12:00,AAL
286,AAL613.EWR.DFW.230221.2315.0136.TFM,KEWR,KDFW,2023-02-23 04:03:00,2023-02-23 03:25:00,AAL
287,AAL2811.LAX.DFW.230221.1400.0343.TFM,KLAX,KDFW,2023-02-22 16:52:00,2023-02-22 17:01:00,AAL
288,AAL564.DFW.LGA.230221.1215.0090.TFM,KDFW,KLGA,2023-02-22 15:24:00,2023-02-22 15:30:00,AAL
289,AAL2120.DCA.BOS.230222.0300.0130.TFM,KDCA,KBOS,2023-02-23 05:22:00,2023-02-23 04:29:00,AAL
290,AAL1175.DFW.SFO.230221.2315.0132.TFM,KDFW,KSFO,2023-02-23 03:27:00,2023-02-23 03:04:00,AAL
291,AAL2068.LGA.DCA.230221.1300.0219.TFM,KLGA,KDCA,2023-02-22 14:22:00,2023-02-22 14:29:00,AAL
292,AAL2292.DFW.JFK.230221.2310.0127.TFM,KDFW,KJFK,2023-02-23 02:07:00,2023-02-23 02:33:00,AAL
293,AAL1291.DFW.IAD.230222.0055.0087.TFM,KDFW,KIAD,2023-02-23 04:23:00,2023-02-23 03:32:00,AAL
294,AAL2028.SFO.DFW.230222.0215.0031.TFM,KSFO,KDFW,2023-02-23 06:15:00,2023-02-23 05:41:00,AAL
295,AAL2532.LAX.DCA.230221.2140.0086.TFM,KLAX,KDCA,2023-02-23 02:18:00,2023-02-23 02:27:00,AAL
296,AAL347.DFW.DCA.230221.1825.0087.TFM,KDFW,KDCA,2023-02-22 21:01:00,2023-02-22 21:07:00,AAL
297,AAL2064.LAX.DFW.230221.2330.0196.TFM,KLAX,KDFW,2023-02-23 02:16:00,2023-02-23 02:29:00,AAL
298,AAL1163.BOS.DFW.230221.2115.0151.TFM,KBOS,KDFW,2023-02-23 01:56:00,2023-02-23 01:55:00,AAL
299,AAL2123.LGA.DCA.230222.0300.0122.TFM,KLGA,KDCA,2023-02-23 04:16:00,2023-02-23 04:23:00,AAL
300,AAL2314.DFW.BWI.230221.1640.0161.TFM,KDFW,KBWI,2023-02-22 19:30:00,2023-02-22 19:31:00,AAL
