,gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier
100,UAL1601.EWR.BOS.230222.2000.0181.TFM,KEWR,KBOS,2023-02-23 21:26:00,2023-02-23 21:11:00,UAL
101,UAL651.IAD.ATL.230222.1755.0027.TFM,KIAD,KATL,2023-02-23 20:26:00,2023-02-23 19:53:00,UAL
102,UAL1896.SEA.SFO.230222.2115.0144.TFM,KSEA,KSFO,2023-02-23 23:15:00,2023-02-23 23:26:00,UAL
103,UAL570.BOS.EWR.230222.1230.0052.TFM,KBOS,KEWR,2023-02-23 14:51:00,2023-02-23 13:59:00,UAL
104,UAL277.IAD.SFO.230222.1115.0080.TFM,KIAD,KSFO,2023-02-23 17:36:00,2023-02-23 17:23:00,UAL
105,UAL1992.EWR.IAD.230222.2000.0248.TFM,KEWR,KIAD,2023-02-23 21:09:00,2023-02-23 21:14:00,UAL
106,UAL549.SFO.BOS.230222.1900.0187.TFM,KSFO,KBOS,2023-02-24 01:12:00,2023-02-24 00:33:00,UAL
107,UAL641.IAD.BOS.230222.1400.0395.TFM,KIAD,KBOS,2023-02-23 15:48:00,2023-02-23 15:19:00,UAL
108,UAL1654.LAX.BOS.230222.1620.0061.TFM,KLAX,KBOS,2023-02-23 20:54:00,2023-02-23 21:40:00,UAL
109,UAL247.LAX.EWR.230222.2330.0215.TFM,KLAX,KEWR,2023-02-24 04:33:00,2023-02-24 04:39:00,UAL
110,UAL2376.EWR.SFO.230222.1715.0130.TFM,KEWR,KSFO,2023-02-23 23:35:00,2023-02-23 23:30:00,UAL
111,UAL333.BOS.LAX.230222.2300.0225.TFM,KBOS,KLAX,2023-02-24 06:28:00,2023-02-24 05:37:00,UAL
112,UAL591.SEA.EWR.230222.2140.0040.TFM,KSEA,KEWR,2023-02-24 02:47:00,2023-02-24 02:55:00,UAL
113,UAL1187.BOS.SFO.230222.2040.0119.TFM,KBOS,KSFO,2023-02-24 04:14:00,2023-02-24 03:13:00,UAL
114,UAL1687.EWR.DFW.230222.1500.0267.TFM,KEWR,KDFW,2023-02-23 19:04:00,2023-02-23 19:06:00,UAL
115,UAL1357.IAD.SFO.230222.2250.0172.TFM,KIAD,KSFO,2023-02-24 05:26:00,2023-02-24 04:44:00,UAL
116,UAL358.DFW.IAD.230222.1810.0026.TFM,KDFW,KIAD,2023-02-23 20:39:00,2023-02-23 20:54:00,UAL
117,UAL2060.IAD.BOS.230222.1745.0038.TFM,KIAD,KBOS,2023-02-23 19:07:00,2023-02-23 19:12:00,UAL
118,UAL515.BOS.EWR.230222.1335.0082.TFM,KBOS,KEWR,2023-02-23 16:30:00,2023-02-23 15:00:00,UAL
119,UAL271.ATL.EWR.230222.1915.0104.TFM,KATL,KEWR,2023-02-23 22:22:00,2023-02-23 21:30:00,UAL
120,UAL1412.EWR.LAX.230222.1700.0175.TFM,KEWR,KLAX,2023-02-24 00:29:00,2023-02-23 23:16:00,UAL
121,UAL1635.LAX.IAD.230222.2045.0148.TFM,KLAX,KIAD,2023-02-24 00:37:00,2023-02-24 01:18:00,UAL
122,UAL329.EWR.BOS.230222.1500.0198.TFM,KEWR,KBOS,2023-02-23 16:26:00,2023-02-23 16:14:00,UAL
123,UAL1411.SFO.EWR.230222.1500.0288.TFM,KSFO,KEWR,2023-02-23 19:30:00,2023-02-23 20:13:00,UAL
124,UAL433.BOS.SFO.230222.1100.0233.TFM,KBOS,KSFO,2023-02-23 19:03:00,2023-02-23 17:45:00,UAL
125,UAL1745.LAX.SFO.230222.1615.0139.TFM,KLAX,KSFO,2023-02-23 18:07:00,2023-02-23 17:50:00,UAL
126,UAL753.SFO.ATL.230222.1900.0156.TFM,KSFO,KATL,2023-02-23 23:45:00,2023-02-23 23:33:00,UAL
127,UAL523.BOS.EWR.230222.2040.0106.TFM,KBOS,KEWR,2023-02-23 23:23:00,2023-02-23 22:08:00,UAL
128,UAL2455.EWR.ATL.230222.1330.0203.TFM,KEWR,KATL,2023-02-23 18:37:00,2023-02-23 15:45:00,UAL
129,UAL2276.IAD.LAX.230222.2220.0174.TFM,KIAD,KLAX,2023-02-24 04:47:00,2023-02-24 03:58:00,UAL
130,UAL2400.BOS.SFO.230222.2300.0267.TFM,KBOS,KSFO,2023-02-24 06:37:00,2023-02-24 05:49:00,UAL
131,UAL1770.SFO.EWR.230222.2115.0115.TFM,KSFO,KEWR,2023-02-24 02:03:00,2023-02-24 02:26:00,UAL
132,UAL571.EWR.ATL.230222.1530.0206.TFM,KEWR,KATL,2023-02-23 18:04:00,2023-02-23 18:05:00,UAL
133,UAL487.SFO.IAD.230222.1900.0165.TFM,KSFO,KIAD,2023-02-23 23:34:00,2023-02-23 23:57:00,UAL
134,UAL326.IAD.SEA.230222.2245.0167.TFM,KIAD,KSEA,2023-02-24 05:08:00,2023-02-24 04:42:00,UAL
135,UAL2025.SFO.SEA.230222.2056.0041.TFM,KSFO,KSEA,2023-02-23 23:02:00,2023-02-23 23:07:00,UAL
136,UAL565.SFO.LAX.230222.2145.0078.TFM,KSFO,KLAX,2023-02-23 23:12:00,2023-02-23 23:16:00,UAL
137,UAL1597.LAX.SFO.230222.0645.0033.TFM,KLAX,KSFO,2023-02-23 08:28:00,2023-02-23 08:09:00,UAL
138,UAL674.EWR.BOS.230220.2330.0036.TFM,KEWR,KBOS,2023-02-22 01:50:00,2023-02-22 00:46:00,UAL
139,UAL1334.DFW.EWR.230221.0045.0155.TFM,KDFW,KEWR,2023-02-22 03:47:00,2023-02-22 03:59:00,UAL
140,UAL447.SFO.SEA.230221.0035.0021.TFM,KSFO,KSEA,2023-02-22 02:40:00,2023-02-22 02:47:00,UAL
141,UAL298.SFO.SEA.230221.0310.0083.TFM,KSFO,KSEA,2023-02-22 05:09:00,2023-02-22 05:25:00,UAL
142,UAL2111.IAD.EWR.230222.1100.0278.TFM,KIAD,KEWR,2023-02-23 12:20:00,2023-02-23 12:19:00,UAL
143,UAL410.EWR.BOS.230221.1730.0187.TFM,KEWR,KBOS,2023-02-22 18:43:00,2023-02-22 18:40:00,UAL
