,gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier
458,UAL2642.IAD.ATL.230228.1315.0035.TFM,KIAD,KATL,2023-03-01 14:51:00,2023-03-01 15:10:00,UAL
459,DAL849.ATL.BOS.230228.1416.0010.TFM,KATL,KBOS,2023-03-01 16:42:00,2023-03-01 16:50:00,DAL
460,AAL1078.IAD.DFW.230228.2210.0114.TFM,KIAD,KDFW,2023-03-02 01:56:00,2023-03-02 01:40:00,AAL
461,UAL519.DCA.SFO.230228.2300.0229.TFM,KDCA,KSFO,2023-03-02 05:18:00,2023-03-02 05:20:00,UAL
462,AAL429.DFW.DCA.230228.1315.0108.TFM,KDFW,KDCA,2023-03-01 16:43:00,2023-03-01 16:00:00,AAL
463,AAL1088.LGA.DFW.230228.2200.0278.TFM,KLGA,KDFW,2023-03-02 02:20:00,2023-03-02 02:07:00,AAL
464,AAL2306.DFW.BOS.230228.2310.0083.TFM,KDFW,KBOS,2023-03-02 02:09:00,2023-03-02 02:38:00,AAL
465,UAL2464.LAX.SFO.230301.0300.0066.TFM,KLAX,KSFO,2023-03-02 04:37:00,2023-03-02 04:31:00,UAL
466,DAL409.ATL.LGA.230228.2300.0237.TFM,KATL,KLGA,2023-03-02 01:12:00,2023-03-02 01:15:00,DAL
467,UAL1402.EWR.BOS.230301.0045.0114.TFM,KEWR,KBOS,2023-03-02 02:47:00,2023-03-02 01:59:00,UAL
468,DAL761.SEA.ATL.230228.1525.0087.TFM,KSEA,KATL,2023-03-01 19:51:00,2023-03-01 20:06:00,DAL
469,UAL2371.DFW.SFO.230228.1305.0019.TFM,KDFW,KSFO,2023-03-01 16:41:00,2023-03-01 17:15:00,UAL
470,AAL1114.DCA.DFW.230228.1345.0063.TFM,KDCA,KDFW,2023-03-01 17:46:00,2023-03-01 17:36:00,AAL
471,UAL1093.LAX.SFO.230228.1840.0053.TFM,KLAX,KSFO,2023-03-01 19:55:00,2023-03-01 20:13:00,UAL
472,UAL674.EWR.BOS.230228.1500.0292.TFM,KEWR,KBOS,2023-03-01 16:10:00,2023-03-01 16:14:00,UAL
473,AAL2112.LAX.DFW.230228.1500.0319.TFM,KLAX,KDFW,2023-03-01 17:48:00,2023-03-01 18:01:00,AAL
474,AAL1848.SFO.DFW.230228.1800.0215.TFM,KSFO,KDFW,2023-03-01 21:12:00,2023-03-01 21:24:00,AAL
475,AAL2254.DFW.LAX.230301.0235.0033.TFM,KDFW,KLAX,2023-03-02 06:07:00,2023-03-02 05:54:00,AAL
476,DAL596.DFW.ATL.230228.1140.0040.TFM,KDFW,KATL,2023-03-01 13:39:00,2023-03-01 13:46:00,DAL
477,AAL2226.DCA.ATL.230228.1635.0147.TFM,KDCA,KATL,2023-03-01 18:32:00,2023-03-01 18:30:00,AAL
478,AAL1105.LGA.DFW.230228.2355.0108.TFM,KLGA,KDFW,2023-03-02 04:26:00,2023-03-02 04:03:00,AAL
479,AAL2146.DCA.BOS.230228.1200.0355.TFM,KDCA,KBOS,2023-03-01 13:12:00,2023-03-01 13:38:00,AAL
480,DAL2820.ATL.IAD.230228.1510.0135.TFM,KATL,KIAD,2023-03-01 16:55:00,2023-03-01 16:57:00,DAL
481,UAL1411.SFO.EWR.230228.1500.0313.TFM,KSFO,KEWR,2023-03-01 19:51:00,2023-03-01 20:13:00,UAL
482,RPA4377.BOS.DCA.230228.2230.0111.TFM,KBOS,KDCA,2023-03-02 00:35:00,2023-03-02 00:19:00,RPA
483,GJS4180.DCA.EWR.230228.2305.0156.TFM,KDCA,KEWR,2023-03-02 01:58:00,2023-03-02 00:40:00,GJS
484,DAL455.DCA.ATL.230228.2240.0151.TFM,KDCA,KATL,2023-03-02 00:28:00,2023-03-02 00:42:00,DAL
485,DAL386.SEA.JFK.230228.2345.0163.TFM,KSEA,KJFK,2023-03-02 04:53:00,2023-03-02 04:59:00,DAL
486,DAL791.DFW.LGA.230228.2245.0169.TFM,KDFW,KLGA,2023-03-02 02:00:00,2023-03-02 02:04:00,DAL
487,UAL1020.IAD.EWR.230228.2210.0176.TFM,KIAD,KEWR,2023-03-01 23:25:00,2023-03-01 23:29:00,UAL
488,DAL1632.DFW.LGA.230228.1935.0101.TFM,KDFW,KLGA,2023-03-01 22:36:00,2023-03-01 22:56:00,DAL
489,DAL697.ATL.SEA.230228.1510.0142.TFM,KATL,KSEA,2023-03-01 20:40:00,2023-03-01 20:50:00,DAL
490,DAL462.LGA.ATL.230228.1440.0102.TFM,KLGA,KATL,2023-03-01 17:06:00,2023-03-01 17:30:00,DAL
491,DAL2327.BWI.ATL.230228.2135.0035.TFM,KBWI,KATL,2023-03-01 23:16:00,2023-03-01 23:30:00,DAL
492,DAL921.ATL.DFW.230228.1755.0106.TFM,KATL,KDFW,2023-03-01 20:11:00,2023-03-01 20:17:00,DAL
493,ASH6084.IAD.LGA.230228.1400.0079.TFM,KIAD,KLGA,2023-03-01 15:19:00,2023-03-01 15:28:00,ASH
494,AAL2459.LAX.DFW.230228.1600.0278.TFM,KLAX,KDFW,2023-03-01 18:44:00,2023-03-01 19:01:00,AAL
495,AAL2101.DCA.DFW.230228.1445.0159.TFM,KDCA,KDFW,2023-03-01 18:40:00,2023-03-01 18:17:00,AAL
496,UAL2127.ATL.EWR.230228.2345.0063.TFM,KATL,KEWR,2023-03-02 01:51:00,2023-03-02 01:56:00,UAL
497,FFT1511.LGA.ATL.230228.1555.0069.TFM,KLGA,KATL,2023-03-01 18:26:00,2023-03-01 18:40:00,FFT
498,AAL2141.DCA.BOS.230228.2300.0267.TFM,KDCA,KBOS,2023-03-02 00:44:00,2023-03-02 00:27:00,AAL
499,DAL2093.EWR.ATL.230228.1205.0065.TFM,KEWR,KATL,2023-03-01 14:45:00,2023-03-01 14:36:00,DAL
500,DAL972.DCA.ATL.230228.1200.0329.TFM,KDCA,KATL,2023-03-01 13:40:00,2023-03-01 14:05:00,DAL
501,UAL571.EWR.ATL.230228.1530.0177.TFM,KEWR,KATL,2023-03-01 17:45:00,2023-03-01 18:05:00,UAL
502,GJS4422.DCA.EWR.230228.1200.0237.TFM,KDCA,KEWR,2023-03-01 13:30:00,2023-03-01 13:26:00,GJS
503,DAL540.BOS.ATL.230228.1315.0143.TFM,KBOS,KATL,2023-03-01 16:18:00,2023-03-01 16:23:00,DAL
504,DAL2639.ATL.EWR.230228.2150.0108.TFM,KATL,KEWR,2023-03-01 23:37:00,2023-03-01 23:59:00,DAL
505,DAL2198.EWR.ATL.230228.1535.0075.TFM,KEWR,KATL,2023-03-01 17:38:00,2023-03-01 18:05:00,DAL
506,DAL334.BOS.ATL.230228.2020.0127.TFM,KBOS,KATL,2023-03-01 23:08:00,2023-03-01 23:24:00,DAL
507,DAL1358.SEA.LAX.230228.2000.0279.TFM,KSEA,KLAX,2023-03-01 22:15:00,2023-03-01 22:47:00,DAL
508,DAL715.ATL.LAX.230228.0255.0035.TFM,KATL,KLAX,2023-03-01 08:10:00,2023-03-01 07:57:00,DAL
509,AAL342.DFW.SFO.230301.0200.0189.TFM,KDFW,KSFO,2023-03-02 06:29:00,2023-03-02 05:50:00,AAL
510,AAL2697.DFW.LAX.230301.0330.0063.TFM,KDFW,KLAX,2023-03-02 07:11:00,2023-03-02 06:52:00,AAL
511,AAL2150.DCA.LGA.230301.0300.0157.TFM,KDCA,KLGA,2023-03-02 04:00:00,2023-03-02 04:08:00,AAL
512,AAL395.LAX.DFW.230228.1700.0069.TFM,KLAX,KDFW,2023-03-01 19:54:00,2023-03-01 20:02:00,AAL
513,ASH6056.IAD.LGA.230301.0300.0038.TFM,KIAD,KLGA,2023-03-02 04:05:00,2023-03-02 04:26:00,ASH
514,UAL2005.DFW.SFO.230301.0145.0139.TFM,KDFW,KSFO,2023-03-02 05:48:00,2023-03-02 05:40:00,UAL
515,UAL1479.EWR.BOS.230301.0300.0057.TFM,KEWR,KBOS,2023-03-02 04:09:00,2023-03-02 04:13:00,UAL
516,RPA3620.EWR.IAD.230301.0300.0129.TFM,KEWR,KIAD,2023-03-02 04:21:00,2023-03-02 04:23:00,RPA
517,GJS4602.EWR.DCA.230228.2100.0099.TFM,KEWR,KDCA,2023-03-01 23:37:00,2023-03-01 22:22:00,GJS
518,DAL600.JFK.SFO.230228.2230.0227.TFM,KJFK,KSFO,2023-03-02 05:13:00,2023-03-02 05:20:00,DAL
519,DAL719.SFO.JFK.230228.2315.0106.TFM,KSFO,KJFK,2023-03-02 04:10:00,2023-03-02 04:33:00,DAL
520,UAL1428.SFO.EWR.230228.2235.0082.TFM,KSFO,KEWR,2023-03-02 03:31:00,2023-03-02 03:45:00,UAL
521,SKW5392.LAX.SFO.230228.2230.0159.TFM,KLAX,KSFO,2023-03-01 23:54:00,2023-03-02 00:07:00,SKW
522,AAL977.SFO.LAX.230228.1500.0067.TFM,KSFO,KLAX,2023-03-01 16:09:00,2023-03-01 16:22:00,AAL
523,UAL1450.EWR.BOS.230228.1155.0026.TFM,KEWR,KBOS,2023-03-01 13:00:00,2023-03-01 13:08:00,UAL
524,AAL1252.DCA.LAX.230228.2205.0142.TFM,KDCA,KLAX,2023-03-02 04:20:00,2023-03-02 04:00:00,AAL
525,DAL451.BOS.DFW.230228.1130.0105.TFM,KBOS,KDFW,2023-03-01 16:15:00,2023-03-01 16:16:00,DAL
526,AAL613.DFW.EWR.230228.1930.0161.TFM,KDFW,KEWR,2023-03-01 22:24:00,2023-03-01 22:43:00,AAL
527,AAL1839.DCA.DFW.230228.1200.0260.TFM,KDCA,KDFW,2023-03-01 16:12:00,2023-03-01 15:35:00,AAL
528,AAL2142.DCA.BOS.230228.1915.0082.TFM,KDCA,KBOS,2023-03-01 20:34:00,2023-03-01 20:48:00,AAL
529,DAL536.JFK.LAX.230228.1700.0208.TFM,KJFK,KLAX,2023-03-01 23:55:00,2023-03-01 23:23:00,DAL
530,AAL2143.BOS.DCA.230301.0030.0180.TFM,KBOS,KDCA,2023-03-02 02:21:00,2023-03-02 02:14:00,AAL
531,DAL385.BOS.ATL.230228.2215.0108.TFM,KBOS,KATL,2023-03-02 01:22:00,2023-03-02 01:22:00,DAL
532,SKW3743.SEA.SFO.230301.0100.0061.TFM,KSEA,KSFO,2023-03-02 02:47:00,2023-03-02 03:19:00,SKW
